ELM,JLON,JLAT,WLON,WLAT,DEP,ASPN
143,139.37764, 35.76756,139.37444, 35.77078,18741.7320,0
144,139.36200, 35.78032,139.35880, 35.78354,18741.7320,0
145,139.34636, 35.79308,139.34316, 35.79630,18741.7320,0
146,139.33072, 35.80585,139.32752, 35.80906,18741.7320,0
147,139.31508, 35.81861,139.31188, 35.82182,18741.7320,0
148,139.29945, 35.83137,139.29625, 35.83458,18741.7320,0
149,139.28381, 35.84413,139.28061, 35.84734,18741.7320,0
150,139.26817, 35.85689,139.26497, 35.86010,18741.7320,0
151,139.25253, 35.86966,139.24933, 35.87286,18741.7320,0
152,139.23690, 35.88242,139.23370, 35.88562,18741.7320,0
153,139.22126, 35.89518,139.21806, 35.89838,18741.7320,0
